sender,sender_type,receiver,receiver_type,date,amount,risk,risk_type,total_donasi_sender,jumlah_transaksi_sender,rata_rata_donasi_sender,std_donasi_sender,jumlah_donasi_30hari_sender,selang_waktu_rata2_sender,receiver_unik_per_sender,degree_centrality_sender,sender_unik_per_receiver,degree_centrality_receiver,max_donasi_satu_receiver,proporsi_donasi_terbesar_per_sender,flag_donasi_melebihi_batas
Perum Hartati (Persero) Tbk,corporation,Partai Indonesia Maju,political-party,2025-04-28,120515158,False,,1665480174,2,832740087.0,1007238154.0520147,1.0,411.0,2,2,411,411,1544965016,0.9276393920015525,False
PT Pratama (Persero) Tbk,corporation,"R.A. Rini Manullang, M.TI.",individual,2024-02-05,21048808441,True,self_funded,21048808441,1,21048808441.0,,1.0,,1,1,1,1,21048808441,1.0,False
PD Pratama Samosir,corporation,Keisha Pertiwi,individual,2024-05-02,5528915,True,smurfing,5528915,1,5528915.0,,1.0,,1,1,1,1,5528915,1.0,False
PT Kusmawati Situmorang (Persero) Tbk,corporation,Dt. Darijan Novitasari,individual,2025-07-23,15420342055,True,self_funded,15420342055,1,15420342055.0,,1.0,,1,1,1,1,15420342055,1.0,False
PT Sirait Budiman (Persero) Tbk,corporation,Bahuwarna Mulyani,individual,2025-05-31,1073679740,True,self_funded,1073679740,1,1073679740.0,,1.0,,1,1,1,1,1073679740,1.0,False
UD Wijaya Astuti (Persero) Tbk,corporation,Darimin Mansur,individual,2025-12-02,10133711777,False,,10133711777,1,10133711777.0,,1.0,,1,1,1,1,10133711777,1.0,False
CV Rahmawati,organization,Partai Kebangkitan Rakyat,political-party,2025-07-16,11872130,True,smurfing,96884252,2,48442126.0,51717784.31912984,1.0,106.0,2,2,382,382,85012122,0.877460683703271,False
Betania Mangunsong,individual,Hj. Shakila Saefullah,individual,2024-08-20,1134269592,False,,1134269592,1,1134269592.0,,1.0,,1,1,1,1,1134269592,1.0,False
CV Rajasa,corporation,KH. Gara Hariyah,individual,2024-06-14,11144689613,False,,33339717406,2,16669858703.0,7813769061.482612,1.0,126.0,2,2,1,1,22195027793,0.6657233330059859,False
Pemkab Toba,organization,Paiman Lailasari,individual,2024-01-21,12122916700,True,illegal_source,194854839789,23,8471949556.043478,9784536221.392042,1.0,30.227272727272727,21,21,1,1,32209047875,0.1652976539349898,False
PD Wibisono Hariyah Tbk,organization,Partai Indonesia Maju,political-party,2024-09-19,128559005,True,proxy,128559005,1,128559005.0,,1.0,,1,1,411,411,128559005,1.0,False
PD Winarno Santoso,corporation,Partai Nasional Demokrat,political-party,2024-05-01,269205488,False,,269205488,1,269205488.0,,1.0,,1,1,434,434,269205488,1.0,False
"R. Kawaca Setiawan, M.Kom.",individual,Partai Demokrat,political-party,2025-12-30,12363115,False,,12363115,1,12363115.0,,1.0,,1,1,429,429,12363115,1.0,False
CV Pranowo Hardiansyah (Persero) Tbk,corporation,Hari Anggriawan,individual,2024-12-16,20892585413,False,,20892585413,1,20892585413.0,,1.0,,1,1,1,1,20892585413,1.0,False
PD Yolanda Narpati (Persero) Tbk,corporation,Prayogo Firmansyah,individual,2024-01-25,9428916923,True,self_funded,9428916923,1,9428916923.0,,1.0,,1,1,1,1,9428916923,1.0,False
"Drs. Halima Halim, M.Farm",individual,Karen Sihombing,individual,2024-05-13,626531610,False,,626531610,1,626531610.0,,1.0,,1,1,1,1,626531610,1.0,False
UD Putra Uwais Tbk,corporation,Partai Indonesia Maju,political-party,2024-11-17,3231409,True,smurfing,3231409,1,3231409.0,,1.0,,1,1,411,411,3231409,1.0,False
"Shakila Prastuti, M.TI.",individual,"Salsabila Iswahyudi, M.TI.",individual,2024-04-05,873995151,False,,873995151,1,873995151.0,,1.0,,1,1,1,1,873995151,1.0,False
UD Fujiati Safitri (Persero) Tbk,corporation,Partai Amanat Rakyat,political-party,2024-03-29,358379255,False,,358379255,1,358379255.0,,1.0,,1,1,411,411,358379255,1.0,False
Maya Zulaika,individual,Hani Namaga,individual,2024-05-13,1650039532,False,,1650039532,1,1650039532.0,,1.0,,1,1,1,1,1650039532,1.0,False
PD Wahyuni,organization,Mala Suryono,individual,2025-07-12,20781798360,False,,20781798360,1,20781798360.0,,1.0,,1,1,1,1,20781798360,1.0,False
UD Hidayanto,corporation,Rahayu Suryatmi,individual,2025-12-22,1085475111,True,proxy,3651812087,2,1825906043.5,1047127466.7420577,1.0,89.0,2,2,1,1,2566336976,0.7027571284776242,False
Adiarja Halimah,individual,Ella Nababan,individual,2025-01-24,231849574,True,self_funded,231849574,1,231849574.0,,1.0,,1,1,1,1,231849574,1.0,False
Mujur Pratiwi,individual,Partai Keadilan Indonesia,political-party,2025-02-25,101755914,False,,101755914,1,101755914.0,,1.0,,1,1,422,422,101755914,1.0,False
CV Latupono Wibisono,corporation,Rama Nababan,individual,2024-11-23,2325093979,True,self_funded,2325093979,1,2325093979.0,,1.0,,1,1,1,1,2325093979,1.0,False
"R. Cengkir Suwarno, M.Kom.",individual,Partai Persatuan,political-party,2024-04-16,158641373,False,,158641373,1,158641373.0,,1.0,,1,1,415,415,158641373,1.0,False
"Daru Prasetya, S.Psi",individual,Partai Rakyat Sejahtera,political-party,2024-11-26,83695045,True,smurfing,83695045,1,83695045.0,,1.0,,1,1,404,404,83695045,1.0,False
R. Emil Maryadi,individual,Partai Persatuan,political-party,2025-11-09,154373982,False,,154373982,1,154373982.0,,1.0,,1,1,415,415,154373982,1.0,False
"Garan Agustina, S.E.",individual,Tgk. Faizah Pangestu,individual,2025-03-23,2008880293,False,,2008880293,1,2008880293.0,,1.0,,1,1,1,1,2008880293,1.0,False
Perum Maryati Tbk,corporation,Aisyah Suryatmi,individual,2024-07-15,11414644250,False,,11414644250,1,11414644250.0,,1.0,,1,1,1,1,11414644250,1.0,False
Kementerian Pendidikan Nasional,organization,Radika Oktaviani,individual,2025-09-20,3422523156,True,illegal_source,180486624279,16,11280414017.4375,12086614808.84462,1.0,41.86666666666667,14,14,1,1,32772935248,0.18158096412362898,False
Perum Wulandari Tbk,corporation,Partai Demokrat,political-party,2024-09-13,249505151,True,proxy,599556489,2,299778244.5,71096890.65015069,1.0,12.0,2,2,429,429,350051338,0.5838504701764641,False
PT Zulkarnain Tbk,corporation,"Cengkal Wibisono, S.Pt",individual,2024-11-11,24016416306,True,self_funded,24843086059,2,12421543029.5,16397627041.623665,1.0,267.0,2,2,1,1,24016416306,0.9667243533658928,False
Ratna Firgantoro,individual,"Dt. Galak Suartini, S.Gz",individual,2024-07-07,343092192,True,self_funded,343092192,1,343092192.0,,1.0,,1,1,1,1,343092192,1.0,False
Farhunnisa Laksita,individual,Partai Harapan Bangsa,political-party,2024-05-30,20652380,False,,20652380,1,20652380.0,,1.0,,1,1,436,436,20652380,1.0,False
CV Lailasari Sirait,organization,Partai Kebangkitan Rakyat,political-party,2025-01-31,937842035,True,proxy,937842035,1,937842035.0,,1.0,,1,1,382,382,937842035,1.0,False
dr. Hasta Padmasari,individual,Gilang Sinaga,individual,2024-04-07,2235097015,False,,2235097015,1,2235097015.0,,1.0,,1,1,1,1,2235097015,1.0,False
Kementerian Pendidikan Nasional,organization,Rini Wacana,individual,2025-02-10,24333384310,True,illegal_source,180486624279,16,11280414017.4375,12086614808.84462,4.0,41.86666666666667,14,14,1,1,32772935248,0.18158096412362898,False
Karsana Prastuti,individual,Lega Simanjuntak,individual,2025-09-08,1602690138,True,self_funded,1602690138,1,1602690138.0,,1.0,,1,1,1,1,1602690138,1.0,False
"Tiara Widodo, M.Farm",individual,Partai Nasional Demokrat,political-party,2025-03-27,169811164,False,,169811164,1,169811164.0,,1.0,,1,1,434,434,169811164,1.0,False
Hani Rajata,individual,Partai Persatuan,political-party,2025-04-25,15251882,False,,15251882,1,15251882.0,,1.0,,1,1,415,415,15251882,1.0,False
Bagas Firmansyah,individual,Partai Keadilan Indonesia,political-party,2025-10-29,355158003,True,over_limit,355158003,1,355158003.0,,1.0,,1,1,422,422,355158003,1.0,True
PD Prasetyo Firgantoro,organization,Sadina Susanti,individual,2025-01-05,10016871352,False,,10016871352,1,10016871352.0,,1.0,,1,1,1,1,10016871352,1.0,False
