sender,sender_type,receiver,receiver_type,date,amount,risk,risk_type
Perum Hartati (Persero) Tbk,corporation,Partai Indonesia Maju,political-party,2025-04-28,120515158,False,
PT Pratama (Persero) Tbk,corporation,"R.A. Rini Manullang, M.TI.",individual,2024-02-05,21048808441,True,self_funded
PD Pratama Samosir,corporation,Keisha Pertiwi,individual,2024-05-02,5528915,True,smurfing
PT Kusmawati Situmorang (Persero) Tbk,corporation,Dt. Darijan Novitasari,individual,2025-07-23,15420342055,True,self_funded
PT Sirait Budiman (Persero) Tbk,corporation,Bahuwarna Mulyani,individual,2025-05-31,1073679740,True,self_funded
UD Wijaya Astuti (Persero) Tbk,corporation,Darimin Mansur,individual,2025-12-02,10133711777,False,
CV Rahmawati,organization,Partai Kebangkitan Rakyat,political-party,2025-07-16,11872130,True,smurfing
Betania Mangunsong,individual,Hj. Shakila Saefullah,individual,2024-08-20,1134269592,False,
CV Rajasa,corporation,KH. Gara Hariyah,individual,2024-06-14,11144689613,False,
Pemkab Toba,organization,Paiman Lailasari,individual,2024-01-21,12122916700,True,illegal_source
PD Wibisono Hariyah Tbk,organization,Partai Indonesia Maju,political-party,2024-09-19,128559005,True,proxy
PD Winarno Santoso,corporation,Partai Nasional Demokrat,political-party,2024-05-01,269205488,False,
"R. Kawaca Setiawan, M.Kom.",individual,Partai Demokrat,political-party,2025-12-30,12363115,False,
CV Pranowo Hardiansyah (Persero) Tbk,corporation,Hari Anggriawan,individual,2024-12-16,20892585413,False,
PD Yolanda Narpati (Persero) Tbk,corporation,Prayogo Firmansyah,individual,2024-01-25,9428916923,True,self_funded
"Drs. Halima Halim, M.Farm",individual,Karen Sihombing,individual,2024-05-13,626531610,False,
UD Putra Uwais Tbk,corporation,Partai Indonesia Maju,political-party,2024-11-17,3231409,True,smurfing
"Shakila Prastuti, M.TI.",individual,"Salsabila Iswahyudi, M.TI.",individual,2024-04-05,873995151,False,
UD Fujiati Safitri (Persero) Tbk,corporation,Partai Amanat Rakyat,political-party,2024-03-29,358379255,False,
Maya Zulaika,individual,Hani Namaga,individual,2024-05-13,1650039532,False,
PD Wahyuni,organization,Mala Suryono,individual,2025-07-12,20781798360,False,
UD Hidayanto,corporation,Rahayu Suryatmi,individual,2025-12-22,1085475111,True,proxy
Adiarja Halimah,individual,Ella Nababan,individual,2025-01-24,231849574,True,self_funded
Mujur Pratiwi,individual,Partai Keadilan Indonesia,political-party,2025-02-25,101755914,False,
CV Latupono Wibisono,corporation,Rama Nababan,individual,2024-11-23,2325093979,True,self_funded
"R. Cengkir Suwarno, M.Kom.",individual,Partai Persatuan,political-party,2024-04-16,158641373,False,
"Daru Prasetya, S.Psi",individual,Partai Rakyat Sejahtera,political-party,2024-11-26,83695045,True,smurfing
R. Emil Maryadi,individual,Partai Persatuan,political-party,2025-11-09,154373982,False,
"Garan Agustina, S.E.",individual,Tgk. Faizah Pangestu,individual,2025-03-23,2008880293,False,
Perum Maryati Tbk,corporation,Aisyah Suryatmi,individual,2024-07-15,11414644250,False,
Kementerian Pendidikan Nasional,organization,Radika Oktaviani,individual,2025-09-20,3422523156,True,illegal_source
Perum Wulandari Tbk,corporation,Partai Demokrat,political-party,2024-09-13,249505151,True,proxy
PT Zulkarnain Tbk,corporation,"Cengkal Wibisono, S.Pt",individual,2024-11-11,24016416306,True,self_funded
Ratna Firgantoro,individual,"Dt. Galak Suartini, S.Gz",individual,2024-07-07,343092192,True,self_funded
Farhunnisa Laksita,individual,Partai Harapan Bangsa,political-party,2024-05-30,20652380,False,
CV Lailasari Sirait,organization,Partai Kebangkitan Rakyat,political-party,2025-01-31,937842035,True,proxy
dr. Hasta Padmasari,individual,Gilang Sinaga,individual,2024-04-07,2235097015,False,
Kementerian Pendidikan Nasional,organization,Rini Wacana,individual,2025-02-10,24333384310,True,illegal_source
Karsana Prastuti,individual,Lega Simanjuntak,individual,2025-09-08,1602690138,True,self_funded
"Tiara Widodo, M.Farm",individual,Partai Nasional Demokrat,political-party,2025-03-27,169811164,False,
Hani Rajata,individual,Partai Persatuan,political-party,2025-04-25,15251882,False,
Bagas Firmansyah,individual,Partai Keadilan Indonesia,political-party,2025-10-29,355158003,True,over_limit
